BDP UPL RTT
0.25 2348.011000 130.394000
0.5 1197.573000 124.975000
1 1043.063000 116.329000
2 1083.006000 119.973000
4 950.696000 114.587000
8 1186.465000 120.085000
16 987.034000 114.745000
32 1084.880000 115.646000
