BDP UPL RTT
0.25 2473.613000 118.759000
0.5 1563.190000 180.738000
1 1002.041000 208.232000
2 1093.427000 400.241000
4 1578.554000 1547.509000
8 1137.550000 1115.152000
16 1125.507000 1104.484000
32 1221.177000 1194.489000
