BDP UPL RTT
0.25 1149.871000 117.303000
0.5 2242.611000 114.131000
1 2576.844000 112.196000
2 2668.803000 115.167000
4 2001.578000 117.953000
8 2928.696000 120.465000
16 2225.766000 114.643000
32 1966.212000 111.860000
