BDP UPL RTT
0.25 2353.243000 120.178000
0.5 1085.312000 108.680000
1 1005.535000 164.906000
2 1463.743000 475.388000
4 1129.037000 1108.004000
8 2006.639000 1966.918000
16 1018.858000 998.391000
32 1049.044000 1029.734000
