BDP UPL RTT
0.25 2026.458000 110.235000
0.5 1042.565000 115.455000
1 1200.231000 246.183000
2 1106.282000 467.889000
4 1163.103000 1141.716000
8 1450.911000 1423.620000
16 1190.755000 1168.124000
32 994.542000 975.709000
