BDP UPL RTT
0.25 2809.152000 112.062000
0.5 1781.459000 168.268000
1 970.493000 184.523000
2 1073.868000 397.514000
4 992.072000 973.559000
8 1206.958000 1184.469000
16 1636.157000 1604.616000
32 993.917000 975.129000
