BDP UPL RTT
0.25 2022.888000 128.252000
0.5 1122.606000 113.180000
1 1309.999000 164.038000
2 1144.225000 148.820000
4 1342.222000 155.134000
8 1045.344000 134.390000
16 1279.245000 143.659000
32 1035.540000 134.119000
