BDP UPL RTT
0.25 2476.830000 147.702000
0.5 1330.570000 124.888000
1 1258.528000 141.335000
2 1110.335000 149.868000
4 1247.505000 145.913000
8 1216.877000 153.487000
16 997.793000 137.929000
32 1175.063000 169.643000
