BDP UPL RTT
0.25 2364.925000 112.976000
0.5 1262.562000 124.738000
1 981.646000 171.988000
2 972.568000 321.094000
4 1315.970000 1291.043000
8 1086.053000 1065.510000
16 1271.042000 1246.383000
32 1263.016000 1239.014000
