BDP UPL RTT
0.25 2098.472000 113.967000
0.5 1085.759000 121.804000
1 1023.353000 189.397000
2 952.205000 180.088000
4 1487.688000 1459.415000
8 1014.969000 995.018000
16 1130.998000 1109.230000
32 1556.055000 1526.492000
