BDP UPL RTT
0.25 2536.951000 112.921000
0.5 1328.758000 127.587000
1 1006.074000 189.078000
2 1040.313000 386.098000
4 1311.357000 1286.615000
8 1199.582000 1175.169000
16 1297.842000 1273.302000
32 1263.146000 1239.324000
