BDP UPL RTT
0.25 2429.730000 143.286000
0.5 1392.819000 148.979000
1 1156.169000 239.853000
2 1431.103000 582.678000
4 973.355000 955.013000
8 1031.416000 1011.378000
16 1011.084000 992.325000
32 1014.424000 995.483000
