BDP UPLwithBBR RTTwithBBR UPLwithCUBIC RTTwithCUBIC
0.25 411.444000 212.828000 230.173000 208.295000
0.5 451.445000 212.653000 336.473000 235.844000
1.0 342.717000 210.673000 230.901000 208.222000
2.0 567.146000 230.391000 311.832000 224.970000
4.0 428.991000 208.263000 347.432000 235.744000
