BDP UPLwithBBR RTTwithBBR UPLwithCUBIC RTTwithCUBIC
0.25 1071.492000 107.700000 2445.014000 117.431000
0.5 1238.436000 110.417000 1276.825000 109.880000
1.0 1097.507000 109.167000 1435.355000 114.440000
2.0 1019.805000 107.453000 1163.519000 109.134000
4.0 1104.344000 109.019000 1000.750000 105.972000
