BDP UPLwithBBR RTTwithBBR UPLwithCUBIC RTTwithCUBIC
0.25 410.583000 212.991000 230.518000 224.615000
0.5 451.733000 212.206000 336.740000 314.136000
1.0 341.372000 210.694000 231.176000 225.299000
2.0 562.634000 232.352000 310.221000 291.375000
4.0 429.312000 207.401000 345.512000 322.381000
