BDP UPLwithBBR RTTwithBBR UPLwithCUBIC RTTwithCUBIC
0.25 395.357000 210.818000 438.442000 214.581000
0.5 477.982000 215.065000 455.045000 220.029000
1.0 314.624000 207.878000 449.017000 215.393000
2.0 467.385000 216.754000 435.539000 211.924000
4.0 436.814000 210.277000 513.241000 249.994000
