BDP UPLwithBBR RTTwithBBR UPLwithCUBIC RTTwithCUBIC
0.25 220.053000 219.956000 226.661000 223.375000
0.5 219.524000 219.389000 223.939000 223.884000
1.0 220.119000 220.071000 228.593000 228.574000
2.0 219.717000 219.643000 219.852000 219.859000
4.0 220.192000 221.321000 219.600000 219.485000
